City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
73,bredasdorp,ZA,-34.5322,20.0403,63.57,70,90,11.88,light rain
74,georgetown,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
75,port hardy,CA,50.6996,-127.4199,48.38,81,75,8.05,light intensity shower rain
76,hobyo,SO,5.3505,48.5268,81.01,75,1,14.2,clear sky
77,chuy,UY,-33.6971,-53.4616,55.04,75,33,6.82,scattered clouds
78,dikson,RU,73.5069,80.5464,-4.25,97,68,7.47,broken clouds
79,ushuaia,AR,-54.8,-68.3,42.46,70,20,17.27,few clouds
80,atar,MR,20.5169,-13.0499,77.59,15,11,6.38,few clouds
81,champerico,GT,14.3,-91.9167,90.14,60,2,8.57,clear sky
82,codrington,AU,-38.2667,141.9667,61.99,66,99,11.23,overcast clouds
83,camacha,PT,33.0833,-16.3333,56.62,94,40,6.91,scattered clouds
84,khatanga,RU,71.9667,102.5,-0.45,98,99,3.62,overcast clouds
85,hermanus,ZA,-34.4187,19.2345,62.8,77,38,14.38,light rain
86,slave lake,CA,55.2834,-114.769,42.78,49,0,5.75,clear sky
87,ostrovnoy,RU,68.0531,39.5131,11.32,94,86,10.18,overcast clouds
88,klaksvik,FO,62.2266,-6.589,34.72,75,99,18.39,overcast clouds
89,waingapu,ID,-9.6567,120.2641,78.44,83,2,3.38,clear sky
90,gediz,TR,39.0417,29.41,51.06,40,8,8.41,clear sky
91,bengkulu,ID,-3.8004,102.2655,75.25,85,20,3.98,few clouds
92,severo-yeniseyskiy,RU,60.3725,93.0408,9.72,97,100,2.93,overcast clouds
93,paamiut,GL,61.994,-49.6678,35.49,79,82,6.98,broken clouds
94,changji,CN,44.0167,87.3167,43.59,56,0,4.47,clear sky
95,bambous virieux,MU,-20.3428,57.7575,76.21,94,75,18.41,moderate rain
96,srednekolymsk,RU,67.45,153.6833,-7.31,93,91,5.64,overcast clouds
97,chapais,CA,49.7834,-74.8492,19.18,88,100,12.57,overcast clouds
98,aktanysh,RU,55.7216,54.0829,31.39,98,100,10.36,light snow
99,severo-kurilsk,RU,50.6789,156.125,27.61,67,98,26.93,overcast clouds
100,kozmodemyansk,RU,56.3367,46.5711,29.88,94,100,11.92,light snow
101,troitskoye,RU,52.9821,84.6757,29.46,94,99,6.58,overcast clouds
102,puerto escondido,MX,15.85,-97.0667,83.66,54,2,6.53,clear sky
103,palafrugell,ES,41.9174,3.1631,44.42,44,27,1.01,scattered clouds
104,tabuk,PH,17.4189,121.4443,74.26,86,65,3.2,broken clouds
105,polunochnoye,RU,60.8697,60.4153,4.59,97,17,3.94,few clouds
106,faanui,PF,-16.4833,-151.75,80.78,74,100,0.67,light rain
107,port-gentil,GA,-0.7193,8.7815,78.42,88,100,6.89,heavy intensity rain
108,gizo,SB,-8.103,156.8419,80.4,81,100,8.55,overcast clouds
109,vung tau,VN,10.346,107.0843,80.8,80,100,14.79,overcast clouds
110,saint-joseph,RE,-21.3667,55.6167,72.1,91,100,20.56,moderate rain
111,avera,US,33.194,-82.5271,72.91,44,10,7.74,clear sky
112,samarai,PG,-10.6167,150.6667,80.8,78,100,12.28,overcast clouds
113,luderitz,NA,-26.6481,15.1594,60.67,72,0,18.79,clear sky
114,khani,GE,41.9563,42.9566,56.77,77,86,10.78,overcast clouds
115,cherskiy,RU,68.75,161.3,-14.08,93,100,3.44,overcast clouds
116,lebu,CL,-37.6167,-73.65,56.05,91,0,15.1,clear sky
117,beausejour,CA,50.0622,-96.5167,42.57,88,82,11.9,broken clouds
118,xihua,CN,33.7833,114.5167,46.0,76,84,4.54,broken clouds
119,stoughton,US,42.1251,-71.1023,51.58,67,75,7.0,broken clouds
120,guatire,VE,10.4762,-66.5427,73.11,91,72,4.27,broken clouds
121,svetlogorsk,BY,52.6333,29.7333,33.67,97,100,12.91,overcast clouds
122,grand gaube,MU,-20.0064,57.6608,76.37,87,100,10.0,light rain
123,hannibal,US,39.7084,-91.3585,50.92,40,0,5.75,clear sky
124,pokaran,IN,26.9167,71.9167,80.19,5,0,9.73,clear sky
125,karakol,KG,42.4907,78.3936,37.72,48,51,5.1,broken clouds
126,barcelona,ES,41.3888,2.159,47.53,39,0,14.97,clear sky
127,puerto ayora,EC,-0.7393,-90.3518,82.36,92,30,5.01,scattered clouds
128,galesong,ID,-5.3166,119.3661,75.22,83,97,4.72,overcast clouds
129,verkhnyaya inta,RU,65.9811,60.3094,15.03,94,92,13.04,light snow
130,halifax,CA,44.6453,-63.5724,49.89,98,100,24.16,overcast clouds
131,honiara,SB,-9.4333,159.95,82.56,74,97,3.0,overcast clouds
132,poum,NC,-20.2333,164.0167,81.77,80,90,9.15,overcast clouds
