City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Constitucion,CL,2022-03-31 18:01:47,-35.3333,-72.4167,66.87,44,0,16.28
121,Avarua,CK,2022-03-31 18:01:47,-21.2078,-159.775,73.45,100,10,3.44
122,Marawi,PH,2022-03-31 18:01:48,7.9986,124.2928,67.71,96,97,0.72
123,Jalu,LY,2022-03-31 18:01:49,29.0331,21.5482,82.99,7,100,10.87
124,Ereymentau,KZ,2022-03-31 18:01:49,51.6199,73.1033,31.17,79,100,10.18
125,Teya,RU,2022-03-31 18:01:50,60.3778,92.6267,26.55,77,98,13.31
126,Puerto Palomas,MX,2022-03-31 18:01:50,31.7667,-107.6167,65.32,22,21,5.17
127,Port Blair,IN,2022-03-31 18:01:51,11.6667,92.75,81.28,76,18,4.34
128,Tuktoyaktuk,CA,2022-03-31 18:01:51,69.4541,-133.0374,-20.16,100,99,7.67
129,Vestmannaeyjar,IS,2022-03-31 18:01:52,63.4427,-20.2734,40.19,65,0,11.5
130,Cabo San Lucas,MX,2022-03-31 18:00:03,22.8909,-109.9124,81.61,53,88,3.0
131,Bluff,NZ,2022-03-31 18:01:52,-46.6,168.3333,48.81,63,100,10.36
132,West Fargo,US,2022-03-31 18:01:53,46.875,-96.9004,28.4,74,100,11.5
133,Barguzin,RU,2022-03-31 18:01:53,53.6167,109.6167,17.82,89,74,3.33
134,Peniche,PT,2022-03-31 18:01:54,39.3558,-9.3811,58.28,79,34,20.33
135,Georgetown,MY,2022-03-31 17:59:08,5.4112,100.3354,80.53,98,20,5.01
136,Nizwa,OM,2022-03-31 18:02:54,22.9333,57.5333,82.22,18,0,2.91
137,Hithadhoo,MV,2022-03-31 18:02:55,-0.6,73.0833,83.17,71,5,5.44
138,Ambon,ID,2022-03-31 18:00:20,-3.6954,128.1814,80.74,83,20,5.75
139,Falcoiu,RO,2022-03-31 18:02:55,44.2333,24.3667,61.34,70,100,7.09
140,Fatehpur,IN,2022-03-31 18:02:55,25.9333,80.8,85.75,13,0,5.73
141,Jumla,NP,2022-03-31 18:02:56,29.2747,82.1838,48.78,56,0,3.56
142,Beloha,MG,2022-03-31 18:02:56,-25.1667,45.05,72.86,80,0,15.46
143,Necochea,AR,2022-03-31 18:00:07,-38.5473,-58.7368,60.01,57,94,12.3
144,Umm Lajj,SA,2022-03-31 18:02:57,25.0213,37.2685,75.67,63,0,9.1
145,Camacha,PT,2022-03-31 18:02:57,33.0833,-16.3333,60.22,72,75,11.5
146,Coihaique,CL,2022-03-31 18:02:02,-45.5752,-72.0662,57.97,64,77,9.75
147,Carutapera,BR,2022-03-31 18:02:58,-1.195,-46.02,74.61,97,100,1.92
148,Lavrentiya,RU,2022-03-31 18:02:58,65.5833,-171.0,11.07,83,73,11.18
149,Cayenne,GF,2022-03-31 18:02:59,4.9333,-52.3333,84.24,10,75,13.8
